Order ID,Collection,Specimen,Corrected specimen name,Image type,Imaging type,Filename,ROI ,Notes,Box URL,Filepath,Location,Upload to DCC
76,HT081B1,S1H5A1_S1H5A4,HT081B1-S1H5A1_S1H5A4,TIFF,,HT081B1_H5_A4_ROI_02.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b1_01042020/ome-tiff_htan/HT081B1_H5_A4_ROI_02.ome.tiff,Storage1,FALSE
77,HT081B1,S1H5A1_S1H5A4,HT081B1-S1H5A1_S1H5A4,TIFF,,HT081B1_H5_A4_ROI_03.ome.tiff,3,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b1_01042020/ome-tiff_htan/HT081B1_H5_A4_ROI_03.ome.tiff,Storage1,FALSE
78,HT081B1,S1H5A1_S1H5A4,HT081B1-S1H5A1_S1H5A4,TIFF,,HT081B1_H5_A4_ROI_04.ome.tiff,4,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b1_01042020/ome-tiff_htan/HT081B1_H5_A4_ROI_04.ome.tiff,Storage1,FALSE
90,HT122P1,S1H3L1 S1H3L4,,TIFF,,HT122P1_S1H3_L1_L4_090320_ROI_002.ome.tiff,2,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H3_L1_L4_090320_ROI_002.ome.tiff,Storage1,FALSE
91,HT122P1,S1H3L1 S1H3L4,,TIFF,,HT122P1_S1H3_L1_L4_090320_ROI_1_L1.ome.tiff,1,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H3_L1_L4_090320_ROI_1_L1.ome.tiff,Storage1,FALSE
92,HT122P1,S1H3L1 S1H3L4,,TIFF,,HT122P1_S1H3_L1_L4_rescan_092820_ROI_L1.ome.tiff,1,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H3_L1_L4_rescan_092820_ROI_L1.ome.tiff,Storage1,FALSE
93,HT122P1,S1H3L1 S1H3L4,,TIFF,,HT122P1_S1H3_L1_L4_rescan_092820_ROI_L4.ome.tiff,2,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H3_L1_L4_rescan_092820_ROI_L4.ome.tiff,Storage1,FALSE
94,HT122P1,S1H4L1 S1H4L4,,TIFF,,HT122P1_S1H4_090320_ROI_001.ome.tiff,1,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H4_090320_ROI_001.ome.tiff,Storage1,FALSE
95,HT122P1,S1H4L1 S1H4L4,,TIFF,,HT122P1_S1H4_090320_ROI_002.ome.tiff,2,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H4_090320_ROI_002.ome.tiff,Storage1,FALSE
96,HT122P1,S1H5L1 S1H5L4,,TIFF,,HT122P1_S1H5_090320_ROI_L1.ome.tiff,1,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H5_090320_ROI_L1.ome.tiff,Storage1,FALSE
97,HT122P1,S1H5L1 S1H5L4,,TIFF,,HT122P1_S1H5_090320_ROI_L4.ome.tiff,2,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H5_090320_ROI_L4.ome.tiff,Storage1,FALSE
98,HT122P1,S1H9L1 S1H9L4,,TIFF,,HT122P1_S1H9_090320_ROI_L1.ome.tiff,1,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H9_090320_ROI_L1.ome.tiff,Storage1,FALSE
99,HT122P1,S1H9L1 S1H9L4,,TIFF,,HT122P1_S1H9_090320_ROI_L4.ome.tiff,2,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT122P1_S1H9_090320_ROI_L4.ome.tiff,Storage1,FALSE
100,HT122P1,S1H3L1 S1H3L4,"HT122P1-S1H3L1,S1H3L4",TIFF,IMC,HTAN_HT122P1_S1H3_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H3_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
101,HT122P1,S1H3L1 S1H3L4,"HT122P1-S1H3L1,S1H3L4",TIFF,IMC,HTAN_HT122P1_S1H3_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H3_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
102,HT122P1,S1H3L1 S1H3L4,"HT122P1-S1H3L1,S1H3L4",TIFF,IMC,HTAN_HT122P1_S1H3_L1_L4_ROI_003.ome.tiff,3,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H3_L1_L4_ROI_003.ome.tiff,Storage1,TRUE
103,HT122P1,S1H4L1 S1H4L4,"HT122P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT122P1_S1H4_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H4_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
104,HT122P1,S1H4L1 S1H4L4,"HT122P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT122P1_S1H4_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H4_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
105,HT122P1,S1H5L1 S1H5L4,"HT122P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT122P1_S1H5_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H5_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
106,HT122P1,S1H5L1 S1H5L4,"HT122P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT122P1_S1H5_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H5_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
107,HT122P1,S1H9L1 S1H9L4,"HT122P1-S1H9L1,S1H9L4",TIFF,IMC,HTAN_HT122P1_S1H9_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H9_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
108,HT122P1,S1H9L1 S1H9L4,"HT122P1-S1H9L1,S1H9L4",TIFF,IMC,HTAN_HT122P1_S1H9_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT122P1_S1H9_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
113,HT123P1,S1H5L1 S1H5L4,,TIFF,,HT123P1_S1H5_091120_ROI_L1.ome.tiff,1,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT123P1_S1H5_091120_ROI_L1.ome.tiff,Storage1,FALSE
114,HT123P1,S1H5L1 S1H5L4,,TIFF,,HT123P1_S1H5_091120_ROI_L4.ome.tiff,2,done second,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b3_09012020/ome-tiff_htan/HT123P1_S1H5_091120_ROI_L4.ome.tiff,Storage1,FALSE
115,HT123P1,S1H1L1 S1H1L4,"HT123P1-S1H1L1,S1H1L4",TIFF,IMC,HTAN_HT123P1_S1H1_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT123P1_S1H1_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
116,HT123P1,S1H1L1 S1H1L4,"HT123P1-S1H1L1,S1H1L4",TIFF,IMC,HTAN_HT123P1_S1H1_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT123P1_S1H1_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
117,HT123P1,S1H3L1 S1H3L4,"HT123P1-S1H3L1,S1H3L4",TIFF,IMC,HTAN_HT123P1_S1H3_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT123P1_S1H3_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
118,HT123P1,S1H3L1 S1H3L4,"HT123P1-S1H3L1,S1H3L4",TIFF,IMC,HTAN_HT123P1_S1H3_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT123P1_S1H3_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
119,HT123P1,S1H5L1 S1H5L4,"HT123P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT123P1_S1H5_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT123P1_S1H5_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
120,HT123P1,S1H5L1 S1H5L4,"HT123P1-S1H5L1,S1H5L4",TIFF,IMC,HTAN_HT123P1_S1H5_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT123P1_S1H5_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
124,HT124P1,S1H1L1 S1H1L4,"HT124P1-S1H1L1,S1H1L4",TIFF,IMC,HTAN_HT124P1_S1H1_L1_L4_ROI_001.ome.tiff,1,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1_S1H1_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
125,HT124P1,S1H1L1 S1H1L4,"HT124P1-S1H1L1,S1H1L4",TIFF,IMC,HTAN_HT124P1_S1H1_L1_L4_ROI_002.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT124P1_S1H1_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
